Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/06/25, 17:47:36, -7.238805, 72.435181, -19.54,  0.00, 65, 0, 9.44, 
2016/06/25, 17:52:44, -7.238931, 72.435379, -44.15,  0.00, 29, 0, 25.95, 
2016/06/25, 17:57:52, -7.238637, 72.435310, -51.64,  648.00, 349, 0, 33.57, 
2016/06/25, 18:03:06, -7.238960, 72.434830, 16.41,  540.00, 72, 0, 63.98, 
2016/06/25, 18:08:13, -7.238737, 72.435501, -58.83,  288.00, 105, 0, 78.06, 
2016/06/25, 18:13:20, -7.238975, 72.434883, -7.33,  0.00, 337, 0, 73.13, 
2016/06/25, 18:18:27, -7.238956, 72.434807, 2.11,  0.00, 31, 0, 8.65, 
2016/06/25, 18:23:35, -7.238944, 72.434921, -4.67,  0.00, 61, 0, 12.65, 
2016/06/25, 18:28:42, -7.239086, 72.434761, -67.82,  2052.00, 162, 0, 23.68, 
2016/06/25, 18:33:49, -7.239080, 72.434692, -34.00,  0.00, 63, 0, 7.64, 
2016/06/25, 18:38:58, -7.239056, 72.434624, -28.02,  5724.00, 240, 0, 7.96, 
2016/06/25, 18:44:07, -7.238747, 72.435204, 26.76,  5292.00, 228, 0, 72.62, 
2016/06/25, 18:49:30, -7.238980, 72.434921, -35.78,  0.00, 54, 0, 40.57, 
2016/06/25, 18:54:38, -7.238765, 72.435104, 5.39,  4860.00, 221, 0, 31.29, 
2016/06/25, 19:00:06, -7.238841, 72.434898, -52.89,  180.00, 172, 0, 24.24, 
2016/06/25, 19:05:27, -7.238874, 72.435043, -28.05,  0.00, 174, 0, 16.41, 
2016/06/25, 19:10:33, -7.238850, 72.434853, -84.04,  324.00, 258, 0, 21.13, 
2016/06/25, 19:15:43, -7.239115, 72.435234, 146.03,  0.00, 341, 0, 51.33, 
2016/06/25, 19:20:51, -7.239218, 72.435059, 97.57,  0.00, 258, 0, 22.45, 
2016/06/25, 19:25:58, -7.238842, 72.435097, -84.08,  288.00, 127, 0, 42.02, 
2016/06/25, 19:31:05, -7.238856, 72.435005, -28.92,  0.00, 228, 0, 10.27, 
2016/06/25, 19:36:11, -7.238863, 72.435242, 10.25,  0.00, 224, 0, 26.15, 
2016/06/25, 19:41:16, -7.238565, 72.435020, -65.32,  144.00, 105, 0, 41.20, 
2016/06/25, 19:46:22, -7.238917, 72.434990, 14.28,  0.00, 323, 0, 39.28, 
2016/06/25, 19:51:36, -7.238729, 72.435120, -20.47,  2988.00, 276, 0, 25.35, 
2016/06/25, 19:56:49, -7.238650, 72.435089, -22.15,  216.00, 149, 0, 9.43, 
2016/06/25, 20:02:04, -7.238795, 72.435287, -231.31,  612.00, 115, 0, 27.15, 
2016/06/25, 20:07:24, -7.240055, 72.433952, -1.38,  0.00, 17, 0, 203.26, 
2016/06/25, 20:12:32, -7.239009, 72.434914, -92.91,  0.00, 19, 0, 157.44, 
2016/06/25, 20:17:37, -7.238871, 72.434959, 14.68,  180.00, 66, 0, 16.13, 
2016/06/25, 20:22:45, -7.238025, 72.435272, 226.94,  0.00, 218, 0, 100.21, 
2016/06/25, 20:27:51, -7.238719, 72.435059, 64.11,  1044.00, 51, 0, 80.67, 
2016/06/25, 20:32:58, -7.238504, 72.434921, 117.18,  0.00, 34, 0, 28.34, 
2016/06/25, 20:38:04, -7.238948, 72.434998, -25.17,  0.00, 237, 0, 50.10, 
2016/06/25, 20:43:05, -7.238192, 72.435432, 153.80,  0.00, 136, 0, 96.74, 
2016/06/25, 20:48:10, -7.239028, 72.434837, -19.78,  0.00, 60, 0, 113.79, 
2016/06/25, 20:53:15, -7.239646, 72.434219, -147.75,  0.00, 333, 0, 96.80, 
2016/06/25, 20:58:20, -7.238918, 72.435150, 7.19,  0.00, 244, 0, 130.77, 
2016/06/25, 21:04:07, -7.238878, 72.435036, 5.67,  144.00, 178, 0, 13.34, 
2016/06/25, 21:09:12, -7.239038, 72.435188, -13.51,  0.00, 298, 0, 24.45, 
2016/06/25, 21:14:13, -7.239155, 72.435379, -42.58,  0.00, 267, 0, 24.76, 
2016/06/25, 21:19:18, -7.238828, 72.434998, 10.17,  324.00, 280, 0, 55.57, 
2016/06/25, 21:24:24, -7.238825, 72.435051, -0.09,  576.00, 174, 0, 5.86, 
2016/06/25, 21:29:26, -7.238866, 72.435417, 46.88,  0.00, 211, 0, 40.63, 
2016/06/25, 21:34:28, -7.238833, 72.435104, 8.48,  0.00, 137, 0, 34.72, 
2016/06/25, 21:39:36, -7.238840, 72.435112, 4.73,  180.00, 18, 0, 1.18, 
2016/06/25, 21:44:55, -7.238794, 72.435112, 11.73,  1728.00, 135, 0, 5.11, 
2016/06/25, 21:50:02, -7.238867, 72.435036, 12.56,  0.00, 124, 0, 11.67, 
2016/06/25, 21:55:10, -7.239007, 72.435196, 27.99,  0.00, 324, 0, 23.53, 
2016/06/25, 22:00:20, -7.238731, 72.435112, -22.47,  0.00, 173, 0, 32.06, 
2016/06/25, 22:05:25, -7.238709, 72.435036, -32.40,  0.00, 144, 0, 8.73, 
2016/06/25, 22:10:30, -7.238730, 72.435097, 1.02,  0.00, 323, 0, 7.12, 
2016/06/25, 22:15:38, -7.239201, 72.435410, 158.17,  0.00, 233, 0, 62.73, 
2016/06/25, 22:20:50, -7.238723, 72.434952, 17.29,  0.00, 97, 0, 73.33, 
2016/06/25, 22:26:16, -7.239233, 72.435051, 124.96,  0.00, 133, 0, 57.75, 
2016/06/25, 22:31:27, -7.238608, 72.434982, -62.33,  936.00, 82, 0, 69.91, 
2016/06/25, 22:36:44, -7.239090, 72.434875, -31.37,  108.00, 344, 0, 54.88, 
2016/06/25, 22:42:35, -7.238941, 72.435043, -18.76,  2592.00, 275, 0, 24.86, 
2016/06/25, 22:49:27, -7.238986, 72.436073, -300.17,  0.00, 299, 0, 113.73, 
2016/06/25, 22:54:31, -7.238812, 72.435043, 32.36,  828.00, 285, 0, 115.25, 
2016/06/25, 22:59:32, -7.238912, 72.435165, -211.07,  0.00, 335, 0, 17.46, 
2016/06/25, 23:04:42, -7.238991, 72.435120, -112.08,  144.00, 66, 0, 10.09, 
2016/06/25, 23:09:51, -7.238966, 72.435150, -63.12,  0.00, 354, 0, 4.32, 
2016/06/25, 23:14:56, -7.238883, 72.435028, -20.66,  288.00, 90, 0, 16.32, 
2016/06/25, 23:20:02, -7.238964, 72.434998, -89.75,  0.00, 161, 0, 9.60, 
2016/06/25, 23:25:06, -7.238941, 72.435097, -35.61,  180.00, 84, 0, 11.22, 
2016/06/25, 23:30:12, -7.238977, 72.435234, -47.95,  0.00, 4, 0, 15.63, 
2016/06/25, 23:35:24, -7.239072, 72.434998, -57.22,  0.00, 37, 0, 28.09, 
2016/06/25, 23:40:31, -7.239002, 72.435349, -38.02,  5436.00, 96, 0, 39.49, 
2016/06/25, 23:45:35, -7.238920, 72.434914, -8.48,  0.00, 315, 0, 48.84, 
2016/06/25, 23:51:06, -7.239025, 72.434959, -7.55,  324.00, 22, 0, 12.69, 
2016/06/25, 23:56:07, -7.238850, 72.435112, -14.18,  0.00, 341, -4, 25.76, 1
2016/06/26, 00:01:20, -7.238724, 72.435135, -38.74,  0.00, 15, -2, 0.00, 1
