ID,Date,Time,Lat,Lon,DateTime,DeployID,CPLat,CPLon,Species,Population,Deploydatetime,Retrievedatetime,geometry_first,dist,difftime,netdisp,speed,turnangle,CPdist,CPbearing
X102,2011-06-13T00:00:00Z,13:51:38,4.367654127,67.04576601,2011-06-13T13:51:38Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",58177.7405798659,45300,2987286.21995076,1.2842768339926245,162.3497941134912,2929822.28150804,20.925627138622968
X102,2011-06-14T00:00:00Z,00:56:38,4.089711644,67.06111848,2011-06-14T00:56:38Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",31071.9416987683,39900,2958956.05300245,0.7787454059841675,176.83841503431137,2901410.26101101,21.179123751410483
X102,2011-06-14T00:00:00Z,13:46:37,3.622371801,67.12464609,2011-06-14T13:46:37Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",52619.6003397861,46199,2913020.39830986,1.138977041489775,172.25897395256072,2855310.94389671,21.696340374009235
X102,2011-06-15T00:00:00Z,01:11:37,3.39651362,67.21506603,2011-06-15T01:11:37Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",27126.2582052662,41100,2893404.76520341,0.6600062823665751,158.18182604314435,2835577.04026071,22.078866359526454
X102,2011-06-15T00:00:00Z,12:51:37,3.71242449,67.45703938,2011-06-15T12:51:37Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",44351.5786406459,42000,2936206.51833157,1.0559899676344262,37.45047153868074,2878305.88818566,22.316115428785892
X102,2011-06-16T00:00:00Z,01:01:37,3.366222423,67.87038275,2011-06-16T01:01:37Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",60067.9295412108,43800,2918522.37889894,1.3714139164659997,129.94837316129457,2860281.25844194,23.479126158143707
X102,2011-06-16T00:00:00Z,13:51:37,3.045510316,68.06405354,2011-06-16T13:51:37Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",41754.0979941323,46200,2894493.40086394,0.9037683548513482,148.87317134635123,2836059.39151228,24.17627671074185
X102,2011-06-17T00:00:00Z,01:06:37,3.006902082,67.8064537,2011-06-17T01:06:37Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",28997.0584435215,40500,2878952.01352305,0.7159767516918881,261.47613926571546,2820656.95889437,23.673137618146164
X102,2011-06-17T00:00:00Z,13:56:36,2.730644743,67.55933191,2011-06-17T13:56:36Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",41290.2422169474,46199,2839744.76769215,0.8937475316986822,221.8137384592016,2781526.22432531,23.40445166335592
X102,2011-06-18T00:00:00Z,01:06:36,2.963263423,67.89624838,2011-06-18T01:06:36Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",45594.5463660537,40200,2878523.61313451,1.1341926956729778,55.37747105438739,2820164.91721262,23.902159739958048
X102,2011-06-18T00:00:00Z,13:21:36,2.448215234,67.99425958,2011-06-18T13:21:36Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",58426.8386859363,44100,2830633.09179404,1.324871625531435,169.2257091923702,2772087.15937026,24.59895553830132
X102,2011-06-19T00:00:00Z,01:11:36,2.258471588,67.70445025,2011-06-19T01:11:36Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",38570.7077547857,42600,2798085.17558514,0.9054156749949701,236.7864731281453,2739656.74607916,24.16272015647577
X102,2011-06-19T00:00:00Z,13:36:36,2.01948833,68.08059458,2011-06-19T13:36:36Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",49618.6959969829,44700,2791314.82384355,1.1100379417669546,122.42983152603807,2732612.04424935,25.20796061228307
