"Date","Time","Lon","Lat"
"08.05.2013","13:42:20",18.3136317,-33.9251333
"08.05.2013","13:43:03",18.3133583,-33.9247083
"08.05.2013","13:44:48",18.313,-33.9245567
"08.05.2013","13:47:01",18.31255,-33.9243667
"08.05.2013","13:47:55",18.3124467,-33.9240367
"08.05.2013","13:48:58",18.3130033,-33.9237867
"08.05.2013","13:50:58",18.3137717,-33.9239317
"08.05.2013","13:51:49",18.3138967,-33.9237367
"08.05.2013","13:52:39",18.3134067,-33.9233317
"08.05.2013","13:53:27",18.3133467,-33.9233
"08.05.2013","14:22:15",18.3229467,-33.9191017
"08.05.2013","14:23:19",18.3234067,-33.9186733
"08.05.2013","14:24:39",18.324095,-33.9178183
"08.05.2013","14:25:50",18.324925,-33.9172417
"08.05.2013","14:26:56",18.3253417,-33.9170983
"08.05.2013","14:27:48",18.32526,-33.9166133
"08.05.2013","14:28:51",18.3256983,-33.9160017
"08.05.2013","14:29:56",18.3262233,-33.9153267
"08.05.2013","14:30:55",18.326405,-33.914765
"08.05.2013","14:32:15",18.3270467,-33.914145
"08.05.2013","14:33:21",18.328285,-33.91407
"08.05.2013","14:34:51",18.3293183,-33.91449
"08.05.2013","14:36:48",18.3310583,-33.9137733
"08.05.2013","14:37:52",18.3319533,-33.9133217
"08.05.2013","14:39:14",18.3326483,-33.9130617
"08.05.2013","14:40:41",18.33384,-33.9124367
"08.05.2013","14:42:01",18.33512,-33.91209
"08.05.2013","14:43:13",18.3362517,-33.9111917
"08.05.2013","14:44:23",18.3366433,-33.9110983
"08.05.2013","14:45:28",18.3371233,-33.910745
"08.05.2013","14:46:35",18.3378383,-33.9103517
"08.05.2013","14:47:47",18.3384683,-33.90975
"08.05.2013","14:48:39",18.3386017,-33.9092017
"08.05.2013","14:49:37",18.339355,-33.9084883
"08.05.2013","14:50:46",18.340135,-33.907815
"08.05.2013","14:51:53",18.3407733,-33.9072883
"08.05.2013","14:52:50",18.3412,-33.9067683
"08.05.2013","14:53:46",18.3415783,-33.9062167
