"device_ID","longitude","latitude","timestamp","day","month","year","hour","date","day_ID","julian_date","net_sqrd_displacement","step_length"
17769,-6.376298,52.369522,2018-03-24 18:10:46,24,3,2018,18,2018-03-24,"2018-03-24_17769",17614,0.00112133241,0.120167409748254
17769,-6.376807,52.368488,2018-03-24 19:11:09,24,3,2018,19,2018-03-24,"2018-03-24_17769",17614,0.00107970632899977,3.48850209671346
17769,-6.357955,52.33934,2018-03-24 20:10:48,24,3,2018,20,2018-03-24,"2018-03-24_17769",17614,3.97916900001015e-06,0.0222035650567944
17769,-6.358263,52.339405,2018-03-24 21:10:46,24,3,2018,21,2018-03-24,"2018-03-24_17769",17614,2.93251600000975e-06,0.00755448706900009
17769,-6.358295,52.33934,2018-03-24 22:10:45,24,3,2018,22,2018-03-24,"2018-03-24_17769",17614,2.99860900000859e-06,0.00642628003252215
17769,-6.358366,52.339378,2018-03-24 23:10:46,24,3,2018,23,2018-03-24,"2018-03-24_17769",17614,2.73516999999989e-06,0.00702221456464188
17769,-6.358285,52.339417,2018-03-25 00:10:46,25,3,2018,0,2018-03-25,"2018-03-25_17769",17615,2.8491280000127e-06,0.20497244663712
17769,-6.359892,52.33786,2018-03-25 01:10:47,25,3,2018,1,2018-03-25,"2018-03-25_17769",17615,7.15465000002288e-06,0.021958489381492
17769,-6.359951,52.337666,2018-03-25 02:10:49,25,3,2018,2,2018-03-25,"2018-03-25_17769",17615,8.26425700002676e-06,0.0132726326770997
17769,-6.360105,52.337593,2018-03-25 03:10:47,25,3,2018,3,2018-03-25,"2018-03-25_17769",17615,8.82752800003006e-06,0.0228282217597582
17769,-6.359792,52.337666,2018-03-25 04:10:48,25,3,2018,4,2018-03-25,"2018-03-25_17769",17615,8.16742600002691e-06,4.11110936359486
17769,-6.37721,52.373039,2018-03-25 05:10:46,25,3,2018,5,2018-03-25,"2018-03-25_17769",17615,0.00136908602499967,0.0678746489864304
17769,-6.378198,52.373119,2018-03-25 06:10:54,25,3,2018,6,2018-03-25,"2018-03-25_17769",17615,0.00141013497699995,0.0514821056157176
17769,-6.378003,52.373566,2018-03-25 07:10:51,25,3,2018,7,2018-03-25,"2018-03-25_17769",17615,0.00143225469699954,0.524515870317238
17769,-6.384943,52.37561,2018-03-25 08:10:46,25,3,2018,8,2018-03-25,"2018-03-25_17769",17615,0.00187560040099986,0.0285647944378964
17769,-6.385318,52.375725,2018-03-25 09:10:46,25,3,2018,9,2018-03-25,"2018-03-25_17769",17615,0.00190285810099993,0.0461537940822371
17769,-6.384665,52.375614,2018-03-25 10:10:53,25,3,2018,10,2018-03-25,"2018-03-25_17769",17615,0.00186184940499966,0.0306286600999959
17769,-6.385105,52.375671,2018-03-25 11:10:48,25,3,2018,11,2018-03-25,"2018-03-25_17769",17615,0.00188813377999955,0.0598997592941236
17769,-6.384237,52.375584,2018-03-25 12:11:10,25,3,2018,12,2018-03-25,"2018-03-25_17769",17615,0.00183844366099998,0.022762192034657
17769,-6.384558,52.375641,2018-03-25 13:10:53,25,3,2018,13,2018-03-25,"2018-03-25_17769",17615,0.00185838595699987,0.0509941181873008
17769,-6.383895,52.375854,2018-03-25 14:10:46,25,3,2018,14,2018-03-25,"2018-03-25_17769",17615,0.00184069650499951,0.0503349311033613
17769,-6.384565,52.376045,2018-03-25 15:10:46,25,3,2018,15,2018-03-25,"2018-03-25_17769",17615,0.0018872809039996,0.054787866952414
17769,-6.385165,52.375717,2018-03-25 16:11:09,25,3,2018,16,2018-03-25,"2018-03-25_17769",17615,0.00189443840799985,1.17157042888326
17769,-6.385358,52.365189,2018-03-25 17:10:53,25,3,2018,17,2018-03-25,"2018-03-25_17769",17615,0.00127398195699987,0.661439583819508
17769,-6.392062,52.360889,2018-03-25 18:11:40,25,3,2018,18,2018-03-25,"2018-03-25_17769",17615,0.00147102490099987,3.36967042798583
17769,-6.358165,52.33884,2018-03-25 19:10:48,25,3,2018,19,2018-03-25,"2018-03-25_17769",17615,4.77122900002125e-06,0.0475548649644299
17769,-6.358294,52.33926,2018-03-25 20:10:46,25,3,2018,20,2018-03-25,"2018-03-25_17769",17615,3.1955540000019e-06,0.00371259075850771
17769,-6.358326,52.339233,2018-03-25 21:10:46,25,3,2018,21,2018-03-25,"2018-03-25_17769",17615,3.18360500000922e-06,0.00717643314487528
17769,-6.358428,52.339249,2018-03-25 22:10:53,25,3,2018,22,2018-03-25,"2018-03-25_17769",17615,2.90007700000329e-06,0.0113521317947685
17769,-6.35831,52.339321,2018-03-25 23:10:46,25,3,2018,23,2018-03-25,"2018-03-25_17769",17615,3.00568500001213e-06,0.00222134982759752
17769,-6.3583,52.33934,2018-03-26 00:10:47,26,3,2018,0,2018-03-26,"2018-03-26_17769",17616,2.98591400000906e-06,0.0244073294834003
17769,-6.358177,52.339134,2018-03-26 01:10:47,26,3,2018,1,2018-03-26,"2018-03-26_17769",17616,3.83926100000512e-06,0.164001753764651
17769,-6.359398,52.337864,2018-03-26 02:10:46,26,3,2018,2,2018-03-26,"2018-03-26_17769",17616,7.05636200000114e-06,0.0295980939443181
17769,-6.359241,52.337616,2018-03-26 03:10:46,26,3,2018,3,2018-03-26,"2018-03-26_17769",17616,8.51047700003742e-06,0.00565502775510449
17769,-6.35916,52.337627,2018-03-26 04:10:46,26,3,2018,4,2018-03-26,"2018-03-26_17769",17616,8.50619300003339e-06,3.79397777435534
17769,-6.378252,52.369656,2018-03-26 05:11:10,26,3,2018,5,2018-03-26,"2018-03-26_17769",17616,0.00119832710599973,0.159721334311074
17769,-6.379177,52.370975,2018-03-26 06:10:46,26,3,2018,6,2018-03-26,"2018-03-26_17769",17616,0.00131236369999988,0.022380850242342
17769,-6.379298,52.371162,2018-03-26 07:10:49,26,3,2018,7,2018-03-26,"2018-03-26_17769",17616,0.00132855096999969,0.72851599792541
17769,-6.384032,52.377033,2018-03-26 08:10:46,26,3,2018,8,2018-03-26,"2018-03-26_17769",17616,0.00193210054899956,0.111071493599595
17769,-6.383615,52.376068,2018-03-26 09:10:48,26,3,2018,9,2018-03-26,"2018-03-26_17769",17616,0.00184232211299949,0.0324357229005902
17769,-6.384073,52.376148,2018-03-26 10:10:46,26,3,2018,10,2018-03-26,"2018-03-26_17769",17616,0.00187025472499978,0.0135181641268095
17769,-6.384167,52.376041,2018-03-26 11:10:47,26,3,2018,11,2018-03-26,"2018-03-26_17769",17616,0.00186725667599978,0.0664939610054305
17769,-6.384537,52.375488,2018-03-26 12:10:50,26,3,2018,12,2018-03-26,"2018-03-26_17769",17616,0.00184661162899955,0.143413011852763
17769,-6.383368,52.374416,2018-03-26 13:10:49,26,3,2018,13,2018-03-26,"2018-03-26_17769",17616,0.00171576540199952,0.026478040555291
17769,-6.383538,52.37463,2018-03-26 14:10:50,26,3,2018,14,2018-03-26,"2018-03-26_17769",17616,0.00173844206599997,0.646327333384113
17769,-6.376177,52.370964,2018-03-26 15:10:47,26,3,2018,15,2018-03-26,"2018-03-26_17769",17616,0.00120303370099984,0.00893270671058609
17769,-6.376235,52.370892,2018-03-26 16:10:53,26,3,2018,16,2018-03-26,"2018-03-26_17769",17616,0.00120058435299966,0.0973452112909766
17769,-6.377079,52.370186,2018-03-26 17:10:53,26,3,2018,17,2018-03-26,"2018-03-26_17769",17616,0.0011870383849996,3.64650416285777
17769,-6.357405,52.33971,2018-03-26 18:10:47,26,3,2018,18,2018-03-26,"2018-03-26_17769",17616,5.32226900001194e-06,0.036825621952448
17769,-6.357944,52.339733,2018-03-26 19:10:49,26,3,2018,19,2018-03-26,"2018-03-26_17769",17616,3.2456530000027e-06,0.014883935195625
17769,-6.358161,52.339718,2018-03-26 20:10:46,26,3,2018,20,2018-03-26,"2018-03-26_17769",17616,2.61204500000978e-06,0.0276373161617375
17769,-6.358318,52.339489,2018-03-26 21:10:46,26,3,2018,21,2018-03-26,"2018-03-26_17769",17616,2.61267700000757e-06,0.0208270558046337
17769,-6.358305,52.339676,2018-03-26 22:10:47,26,3,2018,22,2018-03-26,"2018-03-26_17769",17616,2.29656500001185e-06,0.00846482788116271
17769,-6.35821,52.339725,2018-03-26 23:10:46,26,3,2018,23,2018-03-26,"2018-03-26_17769",17616,2.46554900000461e-06,0.0072776679752963
17769,-6.358232,52.339661,2018-03-27 00:10:46,27,3,2018,0,2018-03-27,"2018-03-27_17769",17617,2.5115410000069e-06,0.000931152159412552
17769,-6.35822,52.339657,2018-03-27 01:11:10,27,3,2018,1,2018-03-27,"2018-03-27_17769",17617,2.55057300000153e-06,0.00242666445501303
17769,-6.358255,52.339653,2018-03-27 02:10:46,27,3,2018,2,2018-03-27,"2018-03-27_17769",17617,2.46438800000978e-06,0.00400996323605429
17769,-6.358285,52.339684,2018-03-27 03:10:46,27,3,2018,3,2018-03-27,"2018-03-27_17769",17617,2.33408500000798e-06,0.00222134824001924
17769,-6.358295,52.339703,2018-03-27 04:10:46,27,3,2018,4,2018-03-27,"2018-03-27_17769",17617,2.27732800000588e-06,3.59752423166741
17769,-6.376812,52.36998,2018-03-27 05:11:10,27,3,2018,5,2018-03-27,"2018-03-27_17769",17617,0.00116557624999969,0.237405639646142
17769,-6.376435,52.372101,2018-03-27 06:10:47,27,3,2018,6,2018-03-27,"2018-03-27_17769",17617,0.00128220481999981,0.673648760088369
17769,-6.38453,52.37558,2018-03-27 07:10:50,27,3,2018,7,2018-03-27,"2018-03-27_17769",17617,0.00185270559399969,0.0178908626217263
17769,-6.384323,52.375679,2018-03-27 08:10:58,27,3,2018,8,2018-03-27,"2018-03-27_17769",17617,0.00184936643199962,0.0112525845620974
17769,-6.384432,52.375603,2018-03-27 09:11:28,27,3,2018,9,2018-03-27,"2018-03-27_17769",17617,0.00184943596899963,0.0859942902981135
17769,-6.38389,52.374905,2018-03-27 10:10:46,27,3,2018,10,2018-03-27,"2018-03-27_17769",17617,0.00177428042899964,0.0352594872440485
17769,-6.383447,52.374741,2018-03-27 11:11:26,27,3,2018,11,2018-03-27,"2018-03-27_17769",17617,0.00174167347599978,0.0451057803953543
17769,-6.38281,52.37463,2018-03-27 12:11:10,27,3,2018,12,2018-03-27,"2018-03-27_17769",17617,0.00170407027399999,0.138911875384439
17769,-6.384348,52.37545,2018-03-27 13:10:51,27,3,2018,13,2018-03-27,"2018-03-27_17769",17617,0.00183455218599981,0.0618206058375392
17769,-6.385133,52.375729,2018-03-27 14:10:53,27,3,2018,14,2018-03-27,"2018-03-27_17769",17617,0.00189364615199972,0.0211742322395989
