BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:14:24,-7.194063,72.445023
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:19:37,-7.158877,72.451256
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:24:49,-7.125435,72.461037
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:30:01,-7.090365,72.469231
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:35:15,-7.054482,72.478912
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:40:32,-7.018535,72.483521
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:45:49,-6.982931,72.483482
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:51:07,-6.950385,72.491997
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:56:31,-6.913508,72.497353
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:03:03,-6.871219,72.48455
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:13:31,-6.856007,72.493156
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:18:37,-6.853051,72.497131
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:23:46,-6.858193,72.496429
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:28:53,-6.861592,72.501404
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:33:59,-6.863527,72.504204
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:39:06,-6.873186,72.498405
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:44:13,-6.88231,72.493103
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:49:19,-6.854857,72.498268
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:54:25,-6.821543,72.504745
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,03:59:32,-6.791039,72.516197
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:04:42,-6.759335,72.52803
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:09:48,-6.726522,72.539009
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:15:00,-6.703502,72.548409
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:20:08,-6.675762,72.557899
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:25:14,-6.644468,72.570221
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:30:21,-6.615113,72.585487
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:35:28,-6.582557,72.597366
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:40:35,-6.551421,72.612167
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:45:43,-6.521798,72.628983
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:50:50,-6.494679,72.647614
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,04:55:57,-6.470141,72.665756
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:01:06,-6.443623,72.687286
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:06:13,-6.424627,72.682358
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:11:19,-6.429067,72.685165
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:16:27,-6.419076,72.680672
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:21:34,-6.423348,72.67588
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:26:40,-6.42506,72.672508
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:31:47,-6.421341,72.67215
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:36:54,-6.424311,72.672638
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:42:01,-6.425687,72.676338
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:47:09,-6.432735,72.674187
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:52:19,-6.431909,72.675247
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,05:57:26,-6.435203,72.670158
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:02:38,-6.43807,72.676834
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:07:47,-6.436967,72.678284
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:12:56,-6.436145,72.677673
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:18:04,-6.445354,72.672058
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:23:11,-6.446066,72.671059
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:28:19,-6.445443,72.668892
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:33:28,-6.444578,72.668343
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:38:35,-6.448976,72.665718
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:43:42,-6.451673,72.666435
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:48:50,-6.452761,72.667938
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:54:00,-6.431715,72.684242
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,06:59:09,-6.430178,72.698906
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,07:05:44,-6.410375,72.708366
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,07:13:54,-6.374841,72.735657
