BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:06:09,-5.646976,72.700691
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:11:13,-5.638847,72.721451
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:16:17,-5.643191,72.7304
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:21:21,-5.651237,72.747032
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:26:27,-5.658413,72.753227
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:31:29,-5.657699,72.75058
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:36:33,-5.658659,72.746498
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:41:36,-5.65786,72.742592
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:46:39,-5.663272,72.742905
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:51:41,-5.664116,72.739365
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:56:45,-5.663715,72.737961
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:01:50,-5.674131,72.734444
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:06:53,-5.679087,72.734573
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:12:00,-5.679806,72.734001
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:17:07,-5.685989,72.733139
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:22:14,-5.688369,72.730492
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:27:25,-5.693255,72.728622
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:32:39,-5.695958,72.723701
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:37:43,-5.698181,72.723282
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:42:46,-5.686486,72.730782
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:47:50,-5.665555,72.744095
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:52:58,-5.666158,72.760872
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,05:58:03,-5.671762,72.759026
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:03:12,-5.69568,72.763573
