id,date_dd_mm_yyyy,time_hh_mm_ss,latitude_decimal_degrees,longitude_decimal_degrees
TrinPetrel_X102,26/08/2011,01:26:12,-6.241599951,68.03085151
TrinPetrel_X102,26/08/2011,13:41:12,-6.41258598,68.69398342
TrinPetrel_X102,27/08/2011,01:11:11,-6.783639926,69.12190715
TrinPetrel_X102,27/08/2011,13:21:11,-7.012536419,69.73125377
TrinPetrel_X102,28/08/2011,01:11:11,-6.856038159,70.12419576
TrinPetrel_X102,28/08/2011,13:21:11,-7.142292786,70.97938438
TrinPetrel_X102,29/08/2011,01:11:11,-7.083295395,71.05076418
TrinPetrel_X102,29/08/2011,13:11:10,-7.261491026,71.59072033
TrinPetrel_X102,30/08/2011,01:11:10,-7.414514339,71.12968393
TrinPetrel_X102,30/08/2011,13:11:10,-6.879433213,71.36781706
TrinPetrel_X102,31/08/2011,01:31:10,-6.47372123,71.05610883
TrinPetrel_X102,31/08/2011,12:46:10,-6.359077723,71.42894037
TrinPetrel_X102,01/09/2011,01:26:10,-6.383196679,71.14421244
TrinPetrel_X102,01/09/2011,13:11:09,-6.717984828,71.35214599
TrinPetrel_X102,02/09/2011,01:21:09,-6.439507927,70.93232934
TrinPetrel_X102,02/09/2011,12:51:09,-6.407586468,71.14904462
TrinPetrel_X102,03/09/2011,01:01:09,-6.401612014,70.51269555
TrinPetrel_X102,03/09/2011,13:26:09,-6.807238246,68.6223008
